id,descripcion,precio,idTipo,cuotas,valorCuota
1,Exo Smart E16 Plus x5-8350 Atom 4Gb 32Gb 14 Win10,15739,2,3,5246
2,Bangho Zero M4 i1 F Celeron 3Gb Ssd 240Gb 14,17529,2,6,2921
3,Gigabyte Amd Apu 1.4 GA E2 2500N DDR3 4 Gb 1600 Mhz,13371,1,12,1114
4,FM2 Msi A68HM E33 Amd Apu A8 7680 3.5 Ghz FM2 DDR3 4 Gb 1600 Mhz,14861,1,12,1238
5,Exo Smart E24S Celeron 4Gb 500Gb 14,17679,2,6,2946
6,AM4 Msi A320M PRO M2 V2 Amd Apu A10 9700 3.8 Ghz AM4 DDR4 4 Gb 2400 Mhz,17962,1,3,5987
7,AM4 Msi A320M PRO M2 V2 Amd Ryzen 3 2200G 3.7 Ghz Vega8 AM4 DDR4 4 Gb 2400 Mhz,18142,1,12,1511
8,1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz,21136,1,12,1761
9,Asus X540M Celeron 4Gb 500Gb 15.6 Win10,22089,2,3,7363
10,Lenovo IdeaPad S145-14IGM Celeron 4Gb 500Gb 14 Win10,22729,2,3,7576
11,Lenovo V130-15IGM Pentium 4Gb 500Gb 15.6,24469,2,6,4078
12,1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz,22275,1,6,3712
31336,1151 8va Gigabyte GA H310M H Intel Core i7 9700F 4.7 Ghz Coffee Lake 1151 Sin Video DDR4 8 Gb 2400 Mhz,45090,1,6,7515
14,AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 3400G 4.2 Ghz Vega11 AM4 DDR4 16 Gb 2666 Mhz,68399,1,3,22799
15,AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 2600 3.9 Ghz AM4 DDR4 16 Gb 2666 Mhz,67679,1,12,5639
31336,1151 9na Msi Z390 ACE Intel Core i9 9900K 5.0 Ghz Coffee Lake 1151 Sin Cooler DDR4 32 Gb 2x16 2666 Mhz,168312,1,12,14026
17,Hp 250 G7 Core i3 4Gb 1Tb 15.6,31169,2,6,5194
18,Hp 250 G7 Core i3 12Gb Ssd 240Gb 15.6,34659,2,3,11553
19,Lenovo V330-15IKB Core i5 8Gb Ssd M.2 240Gb 14,40479,2,6,6746
20,Dell Latitude Core i5 8Gb 1Tb 15.6 Win10 Pro,57889,2,12,4824
